REF_DATE,North American Product Classification System (NAPCS),VALUE
Aug-20,Packaging materials and containers [P91],99.5
Sep-20,Packaging materials and containers [P91],99.9
Oct-20,Packaging materials and containers [P91],100.2
Nov-20,Packaging materials and containers [P91],101.5
Dec-20,Packaging materials and containers [P91],101.6
Jan-21,Packaging materials and containers [P91],102.3
Feb-21,Packaging materials and containers [P91],103.8
Mar-21,Packaging materials and containers [P91],106.4
Apr-21,Packaging materials and containers [P91],109.4
May-21,Packaging materials and containers [P91],111.1
Jun-21,Packaging materials and containers [P91],111.9
Jul-21,Packaging materials and containers [P91],114.3
Aug-21,Packaging materials and containers [P91],118.1
Sep-21,Packaging materials and containers [P91],119.6
Oct-21,Packaging materials and containers [P91],119.2
Nov-21,Packaging materials and containers [P91],117.9
Dec-21,Packaging materials and containers [P91],118.3
Jan-22,Packaging materials and containers [P91],119.3
Feb-22,Packaging materials and containers [P91],120.1
Mar-22,Packaging materials and containers [P91],122.9
Apr-22,Packaging materials and containers [P91],124.4
May-22,Packaging materials and containers [P91],125.2
Jun-22,Packaging materials and containers [P91],125.9
Jul-22,Packaging materials and containers [P91],127
Aug-22,Packaging materials and containers [P91],127.4
Sep-22,Packaging materials and containers [P91],126.5
Oct-22,Packaging materials and containers [P91],125.2
Nov-22,Packaging materials and containers [P91],124.8
Dec-22,Packaging materials and containers [P91],124.6
Jan-23,Packaging materials and containers [P91],128
Feb-23,Packaging materials and containers [P91],129.1
Mar-23,Packaging materials and containers [P91],130.2
Apr-23,Packaging materials and containers [P91],130.7
May-23,Packaging materials and containers [P91],130.8
Jun-23,Packaging materials and containers [P91],130.7
Jul-23,Packaging materials and containers [P91],128.7
Aug-23,Packaging materials and containers [P91],129.3
Sep-23,Packaging materials and containers [P91],129.3
Oct-23,Packaging materials and containers [P91],128.2
Nov-23,Packaging materials and containers [P91],128.6
Dec-23,Packaging materials and containers [P91],128.7
Jan-24,Packaging materials and containers [P91],128.6
Feb-24,Packaging materials and containers [P91],131.1
Mar-24,Packaging materials and containers [P91],131.4
Apr-24,Packaging materials and containers [P91],131.8
May-24,Packaging materials and containers [P91],132.5
Jun-24,Packaging materials and containers [P91],132
Jul-24,Packaging materials and containers [P91],134
Aug-24,Packaging materials and containers [P91],134.7
Sep-24,Packaging materials and containers [P91],135
Oct-24,Packaging materials and containers [P91],134.9
Nov-24,Packaging materials and containers [P91],135
Dec-24,Packaging materials and containers [P91],135
Jan-25,Packaging materials and containers [P91],135.3
Mar-20,Miscellaneous products [P92],101.8
Apr-20,Miscellaneous products [P92],102.3
May-20,Miscellaneous products [P92],102.3
Jun-20,Miscellaneous products [P92],101.3
Jul-20,Miscellaneous products [P92],100.9
Aug-20,Miscellaneous products [P92],100.4
Sep-20,Miscellaneous products [P92],101.1
Oct-20,Miscellaneous products [P92],101.4
Nov-20,Miscellaneous products [P92],101.5
Dec-20,Miscellaneous products [P92],101.4
Jan-21,Miscellaneous products [P92],101.6
Feb-21,Miscellaneous products [P92],102.5
Mar-21,Miscellaneous products [P92],102.7
Apr-21,Miscellaneous products [P92],103.5
May-21,Miscellaneous products [P92],103.9
Jun-21,Miscellaneous products [P92],104.9
Jul-21,Miscellaneous products [P92],107.1
Aug-21,Miscellaneous products [P92],108
Sep-21,Miscellaneous products [P92],108.7
Oct-21,Miscellaneous products [P92],107.7
Nov-21,Miscellaneous products [P92],108.8
Dec-21,Miscellaneous products [P92],109.5
Jan-22,Miscellaneous products [P92],110.6
Feb-22,Miscellaneous products [P92],110.7
Mar-22,Miscellaneous products [P92],110.9
Apr-22,Miscellaneous products [P92],111.2
May-22,Miscellaneous products [P92],112.4
Jun-22,Miscellaneous products [P92],112.4
Jul-22,Miscellaneous products [P92],112.5
Aug-22,Miscellaneous products [P92],112.4
Sep-22,Miscellaneous products [P92],112.5
Oct-22,Miscellaneous products [P92],112.8
Nov-22,Miscellaneous products [P92],112.7
Dec-22,Miscellaneous products [P92],113.4
Jan-23,Miscellaneous products [P92],113.4
Feb-23,Miscellaneous products [P92],113.5
Mar-23,Miscellaneous products [P92],115.3
Apr-23,Miscellaneous products [P92],114.3
May-23,Miscellaneous products [P92],114.6
Jun-23,Miscellaneous products [P92],114
Jul-23,Miscellaneous products [P92],114.6
Aug-23,Miscellaneous products [P92],115.3
Sep-23,Miscellaneous products [P92],115.5
Oct-23,Miscellaneous products [P92],116.3
Nov-23,Miscellaneous products [P92],116.1
Dec-23,Miscellaneous products [P92],115.8
Jan-24,Miscellaneous products [P92],115.7
Feb-24,Miscellaneous products [P92],119.6
Mar-24,Miscellaneous products [P92],119.2
Apr-24,Miscellaneous products [P92],120.1
May-24,Miscellaneous products [P92],119.9
Jun-24,Miscellaneous products [P92],120.3
Jul-24,Miscellaneous products [P92],120.3
Aug-24,Miscellaneous products [P92],119.9
Sep-24,Miscellaneous products [P92],119.6
Oct-24,Miscellaneous products [P92],120.3
Nov-24,Miscellaneous products [P92],121.1
Dec-24,Miscellaneous products [P92],122.5
Jan-25,Miscellaneous products [P92],123.5
